persistentid,venueid,utc_date,utc_hour,local_date,local_hour,gender,age,full_panel_reweighted_sag_score,dwell,home_zip,venuename,address,city,dma,state,country,geolat,geolong,catid,catname,level1catId,level1cat,level2catId,level2cat,level3catId,level3cat,chainid,chainname,parentvenueid,zip,sample
0,440fec14f964a520aa301fe3,2020-05-14,16,2020-05-14,11,Male,Age_30_to_34,105.98114717151824,392,78727.0,Central Presbyterian Church,200 E 8th St,Austin,"Austin, TX",TX,US,30.269685,-97.74042606353476,4bf58dd8d48988d132941735,Churches,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d131941735,Spiritual Centers,4bf58dd8d48988d132941735,Churches,,,,78701,us_all
1,4a908eeaf964a520821820e3,2020-05-04,16,2020-05-04,11,Male,Age_35_to_39,92.50434409131978,433,78741.0,El Jacalito Restaurant,2030 E Oltorf St,Austin,"Austin, TX",TX,US,30.230591840031344,-97.73187572352924,4bf58dd8d48988d1c1941735,Mexican Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1c1941735,Mexican Restaurants,,,,,,78741,us_all
1,4a908eeaf964a520821820e3,2020-05-06,15,2020-05-06,10,Male,Age_35_to_39,90.52289030383704,621,78741.0,El Jacalito Restaurant,2030 E Oltorf St,Austin,"Austin, TX",TX,US,30.230591840031344,-97.73187572352924,4bf58dd8d48988d1c1941735,Mexican Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1c1941735,Mexican Restaurants,,,,,,78741,us_all
2,4a908eeaf964a520821820e3,2020-05-22,17,2020-05-22,12,Female,Age_25_to_29,178.99205212004892,184,78747.0,El Jacalito Restaurant,2030 E Oltorf St,Austin,"Austin, TX",TX,US,30.230591840031344,-97.73187572352924,4bf58dd8d48988d1c1941735,Mexican Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d1c1941735,Mexican Restaurants,,,,,,78741,us_all
3,4aba79edf964a5207a8120e3,2020-05-18,16,2020-05-18,11,Male,Age_40_to_44,122.60019296387009,2276,,Texas Department of Public Safety,5805 N Lamar Blvd,Austin,"Austin, TX",TX,US,30.327842001072675,-97.72278785705566,4bf58dd8d48988d126941735,Government Buildings,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d126941735,Government Buildings,,,,,,78752,us_all
4,4b44e76bf964a5208fff25e3,2020-05-12,16,2020-05-12,11,Male,Age_30_to_34,104.81810647443984,624,,H-E-B,1080 Highway 290 E,Elgin,"Austin, TX",TX,US,30.346309520338217,-97.3838855053898,4bf58dd8d48988d118951735,Grocery Stores,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d1f9941735,Food & Drink Shops,4bf58dd8d48988d118951735,Grocery Stores,556ca0b7a7c87f63786a3545,H-E-B Grocery,,78621,us_all
3,4b50e0f3f964a5209c3627e3,2020-05-24,14,2020-05-24,9,Male,Age_40_to_44,130.33367130611052,1286,,Motel 6,5330 N Interstate 35,Austin,"Austin, TX",TX,US,30.313030240434024,-97.70921003696157,4bf58dd8d48988d1fa931735,Hotels,4d4b7105d754a06379d81259,Travel & Transport,4bf58dd8d48988d1fa931735,Hotels,,,556f3bd2bd6a8104863be45e,Motel 6,,78751,us_all
5,4b564c69f964a520f70928e3,2020-05-07,13,2020-05-07,8,Male,Age_25_to_29,205.7114943432402,2933,76511.0,Burnet High School,1401 N Main St,Burnet,"Austin, TX",TX,US,30.77726605768375,-98.2259520451946,4bf58dd8d48988d13d941735,High Schools,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d13b941735,Schools,4bf58dd8d48988d13d941735,High Schools,,,,78611,us_all
5,4b564c69f964a520f70928e3,2020-05-19,16,2020-05-19,11,Male,Age_25_to_29,212.9575367612221,393,76511.0,Burnet High School,1401 N Main St,Burnet,"Austin, TX",TX,US,30.77726605768375,-98.2259520451946,4bf58dd8d48988d13d941735,High Schools,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d13b941735,Schools,4bf58dd8d48988d13d941735,High Schools,,,,78611,us_all
6,4b5f8333f964a520cebe29e3,2020-05-18,16,2020-05-18,11,Female,Age_45_to_49,139.01419052262293,303,,CVS pharmacy,800 W Old Settlers Blvd,Round Rock,"Austin, TX",TX,US,30.536422172774145,-97.69609867152523,4bf58dd8d48988d10f951735,Pharmacies,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d10f951735,Pharmacies,,,556f5631bd6a75a99036ab9b,CVS,,78681,us_all
